project_id,p0,p1,p2
1,5aeaef0715a9c300011acf19,5c0333c84e1b7b00016a83fd,610bb9c0c502bc7d0b4650f6
2,5b55c6a2e173e60001963940,5cc8bdd79366c80001eda779,6082ab1645d375d3f7a4d9bd
3,612687a5a3c9d923c4050e47,60b7bb77c573c1a28d072811,6097e36e99d6c893daf55676
4,5d5fc0ad29b1d80001430de0,607d7c8297d36c7835032ce9,5fe52ccca4feb03293fbf3a6
5,60b60515dc81e3c6a1155c6e,5efe1f5fae9c482e94a4cc61,5e2f53d9e0c1bf509bc6d305
6,5d543e2c68ec7c0001682a58,5d7ea5c53338120001abae9e,5d0ba121619661001a7f4fe6
7,5de311645feb6e33b01682db,5d53dc4f93278500018f4e37,60fc8070ac259dd44fb94150
8,603d0e0e5b0386b034e93bf5,605cb84d3d0c0d587aa464be,5e9e08653b081619a9b61f22
9,5f49424d243bb347aaec4897,6052978fd989c3a10f890c3a,5f3b3d16d2664625fcfa73aa
10,5fb160a4f350e75fa7315f97,605b98c83da1ded576bcf096,607573bb22b8b1744a5026e2
12,60d1a4da9e47f5d3b3e85a70,5b47f9a8890de80001b68055,5d374dad87890100159e52b3
13,6151be9cd63f6bdec7c63fc6,6011a4b308baec1050c17853,5c6d938c79151c00017c7560
15,5df132598640200472b7a950,5f4f9deca0830d07329e0efa,5da03c3607c83700140a3d8f
16,5fbfe145e52a44000a9c2966,606e2ea0c4bd646aee2f2d7f,5e7142a98ed3b6068baceb3b
17,5d1b4223bafe26001ec6ae62,5d5fc0ad29b1d80001430de0,5edc753bcee6c1953c31dacd
18,5f4f9deca0830d07329e0efa,5d1b4223bafe26001ec6ae62,5edc753bcee6c1953c31dacd
19,5f4f9deca0830d07329e0efa,5d1b4223bafe26001ec6ae62,5edc753bcee6c1953c31dacd
20,5f4f9deca0830d07329e0efa,607d7c8297d36c7835032ce9,5edc753bcee6c1953c31dacd
21,5d7ea5c53338120001abae9e,607d7c8297d36c7835032ce9,5edc753bcee6c1953c31dacd
22,5f4f9deca0830d07329e0efa,607d7c8297d36c7835032ce9,5edc753bcee6c1953c31dacd
23,5f4f9deca0830d07329e0efa,607d7c8297d36c7835032ce9,5edc753bcee6c1953c31dacd
